ik	10006772
je	9001167
het	7081845
de	6792979
dat	6007618
is	5657678
een	5039260
niet	4772886
en	3722568
van	2941504
wat	2769802
we	2691355
in	2588813
ze	2456905
hij	2329687
te	2321454
zijn	2205527
op	2144681
maar	2126469
er	2044255
met	1856605
voor	1855375
die	1846895
heb	1769182
me	1761825
als	1684935
was	1493229
ben	1382175
om	1321308
dit	1258367
mijn	1224703
aan	1182865
u	1177214
dan	1134894
n	1131929
naar	1129663
weet	1120838
hier	1086524
zo	1052236
jij	1044294
kan	1042319
geen	1020815
nog	994553
ja	982006
hem	972927
heeft	969831
wel	958539
moet	957595
wil	941239
hebben	926997
goed	887819
haar	867675
nee	856003
hoe	803291
nu	792974
waar	773738
over	746315
ook	734375
doen	713370
uit	700277
zou	692836
ga	679718
of	674193
gaan	671794
bent	669561
mij	666821
bij	655438
al	632609
ons	602876
had	584503
iets	583350
daar	581597
jullie	580766
gaat	569583
zal	568758
m	567079
hebt	565918
kom	559616
waarom	557548
meer	555563
deze	516044
moeten	472658
t	472001
laat	470609
kunnen	468133
dus	461409
jou	448182
denk	439193
wie	435485
alles	426991
echt	424799
doe	418336
door	417203
alleen	407083
s	401559
toch	392983
zien	383961
weg	376436
eens	371727
man	359475
misschien	359214
laten	353505
nooit	350946
nou	347555
zei	342913
terug	342296
oké	341155
mee	336637
niets	329731
iemand	328805
komt	313150
toen	312964
veel	307717
even	305017
onze	300608
gewoon	295651
weten	293558
komen	291569
nodig	291351
mensen	290275
tot	288727
worden	281032
zeggen	278585
tijd	278263
weer	276186
leven	274544
twee	269781
net	266915
tegen	265256
maken	258350
uw	257050
zeg	254035
omdat	252830
zit	251543
wordt	250695
z	249724
hou	247154
kijk	243303
heel	243287
wij	242654
altijd	234911
mag	233769
gedaan	233289
dood	229213
zeker	228323
af	220034
jaar	215656
hun	215211
wilde	214119
dag	213062
allemaal	210925
jouw	210824
huis	210552
dacht	210182
doet	208207
vader	207641
kunt	204817
wacht	203442
zie	198787
vrouw	198443
keer	196456
andere	195409
zoals	195251
zij	193752
dank	189986
anders	189426
geef	189089
waren	188873
willen	188572
zich	187074
bedankt	185125
één	184315
mr	183677
erg	183563
wilt	182672
praten	179721
spijt	179198
geld	178884
kon	178838
werk	178658
oh	177930
iedereen	176789
beter	176777
werd	175810
moeder	174794
niemand	174437
vinden	173290
staat	173184
gezien	171287
niks	171080
binnen	167230
zitten	167093
zullen	165002
na	162379
helpen	162225
wist	161677
vind	159802
genoeg	156685
sorry	153660
vast	152616
elkaar	152602
ging	152470
uur	151811
klaar	151070
hele	150708
neem	149716
leuk	148031
natuurlijk	147413
alle	146723
god	145302
maak	144655
lang	144498
kwam	142612
graag	141828
hé	141375
toe	141284
drie	141271
zegt	140895
bedoel	140818
deed	139507
dingen	139324
maakt	138947
alsjeblieft	138555
eerste	138080
krijgen	137832
zonder	135995
steeds	135812
hallo	134987
houden	134284
vertellen	134044
ziet	133855
idee	132998
geven	131642
achter	131354
geweest	129097
blijven	128599
helemaal	128515
mooi	127879
onder	127669
kijken	126801
zag	126486
goede	125885
naam	125347
moest	125032
blijf	124084
kun	123657
auto	123520
luister	123012
grote	122566
lijkt	122559
snel	122260
ooit	121243
vragen	120995
paar	119519
wanneer	118956
want	118206
meneer	118042
nieuwe	117799
gebeurd	117783
zorgen	117301
vriend	117110
beetje	116575
kinderen	115945
gek	115234
hand	114442
vraag	113408
laatste	113141
geweldig	111774
hadden	111707
zelfs	110112
enige	108971
bang	108357
nemen	107484
samen	106665
eten	106458
o	106208
zelf	105869
hoor	104358
geleden	104345
staan	103274
gevonden	101957
jongen	101830
denken	100712
vandaag	100632
denkt	99598
beste	99513
gezegd	98732
thuis	98444
wereld	98156
jongens	97813
heen	97706
ken	96085
hen	95818
eerst	95781
eigen	94649
zoon	94005
gelijk	93785
buiten	93577
vertel	93539
morgen	92943
meisje	92677
probleem	92207
alsof	92100
geloof	91786
halen	91416
familie	91381
elke	91190
zouden	90745
hoop	90558
politie	89831
mannen	88242
bijna	88083
vermoord	87785
eigenlijk	87166
werken	86903
verdomme	86880
horen	86323
manier	86308
zat	86182
vrienden	86123
precies	85303
kind	84394
hè	83925
kleine	83652
begrijp	83359
wou	83099
geeft	82928
orde	82400
houdt	82085
verder	81608
vroeg	81010
stop	80987
wachten	80968
rustig	80885
hoofd	80392
krijg	80016
daarom	79644
gebeurt	79365
soms	79301
volgens	78650
dagen	78121
vond	77407
krijgt	77203
gemaakt	77105
kant	77067
werkt	76674
open	76371
gehad	76346
voel	76130
zaak	75855
blij	75681
volgende	75620
zoek	75591
kans	75545
vanavond	74852
bel	74744
probeer	74432
zoeken	73343
oude	73245
ding	73212
moment	73205
best	72892
tussen	72407
plaats	72264
pas	72216
gehoord	72189
vijf	72124
verteld	71375
zet	70421
prima	70022
hulp	69889
stad	69801
vindt	69293
brengen	68945
pijn	68893
slecht	68519
geloven	68314
eruit	68306
minuten	68121
school	67892
plan	67744
broer	67705
pak	67661
jezelf	67188
hoeveel	67162
kamer	66186
betekent	65961
spreken	65936
juist	65493
heet	65251
soort	65248
haal	64852
ergens	64809
vier	64780
gebruiken	64681
ligt	64405
blijft	64238
welke	64115
proberen	64012
dokter	63817
agent	63555
help	63532
later	63082
voordat	63075
ogen	62918
vrij	62903
klopt	62698
