de	904564
het	431621
van	405690
een	400879
in	342823
en	320851
is	218529
dat	210690
op	201132
te	163983
met	154733
voor	152113
zijn	144783
die	126618
niet	122626
je	107232
ook	99176
er	98731
om	98240
maar	96074
aan	91501
ik	81324
als	81188
bij	74837
ze	69779
hij	65380
nog	61206
dan	60772
naar	58655
heeft	57694
uit	54535
door	52350
was	52311
of	49783
we	49675
over	48061
dit	46920
al	46377
meer	45534
jaar	42229
hebben	42149
wat	41816
wel	40810
deze	39018
worden	37933
kan	37372
wordt	36318
tot	35016
geen	33366
na	32305
zo	31851
nu	31357
veel	29982
kunnen	29445
werd	28907
zich	28461
hun	28045
gaat	25285
mensen	25042
haar	24706
tegen	23998
moet	23951
zou	23246
twee	22445
nieuwe	22335
daar	21805
andere	21439
onder	21264
gaan	20756
waar	20379
dus	19834
goed	19544
volgens	19484
weer	19173
had	18732
eerste	18481
hoe	18214
mijn	17559
maken	17501
zegt	17390
moeten	16661
heel	16523
zal	16442
wil	16121
heb	16044
alleen	15573
staat	15534
doen	15403
toch	15255
procent	15171
komt	14740
omdat	14584
alle	14458
zien	14393
komen	13841
grote	13776
tijdens	13754
tijd	13604
mee	13135
tussen	13050
toen	12932
zoals	12880
zelf	12542
waren	12161
uur	12139
hem	12110
euro	12069
hier	11945
iets	11922
ons	11754
drie	11749
af	11511
onze	11453
altijd	11285
politie	11117
zij	11060
nederland	10894
keer	10878
want	10685
ben	10348
eigen	10324
man	10292
steeds	10270
echt	10149
week	10044
vooral	9877
minder	9826
kwam	9783
auto	9659
afgelopen	9589
tweede	9474
jaren	9425
eerder	9412
dag	9321
verder	9271
laten	9229
per	9214
één	9212
mogelijk	9195
eens	9179
laatste	9143
net	9069
staan	9026
krijgen	8988
willen	8909
gewoon	8833
leven	8694
terug	8517
elkaar	8480
weg	8478
zonder	8391
werden	8377
samen	8343
via	8307
vaak	8301
binnen	8282
zelfs	8281
sinds	8244
wie	8228
zit	8190
rond	8173
alles	8169
ging	8121
toe	8067
mij	8049
weten	8016
onderzoek	7976
land	7950
kinderen	7883
aantal	7853
maakt	7825
zeker	7751
snel	7623
even	7475
me	7451
